emp_no,first_name,last_name,title,from_date,salary
18297,Guther,Nastansky,Senior Staff,1985-09-07,56421
10126,Kayoko,Valtorta,Staff,1985-09-08,40000
13815,Guadalupe,Plotkin,Engineer,1985-09-09,40000
15545,Masadi,Suri,Engineer,1985-09-10,40000
10363,Toshiki,Muniz,Assistant Engineer,1985-09-11,40401
22861,Susumu,Baja,Engineer,1985-09-12,56524
37348,Zhiguo,Ratzlaff,Staff,1985-09-13,81615
33339,Pasqua,Harnett,Engineer,1985-09-14,43185
23938,Nahum,Facello,Senior Engineer,1985-09-15,49319
11431,Youngkon,Picht,Staff,1985-09-16,44804
11211,Yurij,Rissland,Senior Engineer,1985-09-17,72668
11204,Diederik,Covnot,Technique Leader,1985-09-18,40000
25504,Pramod,Servi,Staff,1985-09-19,40000
24199,Iara,Bach,Senior Engineer,1985-09-20,43068
20903,Yagil,Kemmerer,Senior Engineer,1985-09-21,51887
20626,Hercules,Varman,Senior Engineer,1985-09-22,40000
15623,Vishu,Falby,Engineer,1985-09-23,52506
39035,Susumu,Kohling,Engineer,1985-09-24,49007
16227,Hitomi,Vural,Engineer,1985-09-25,58619
10749,King,Brendel,Engineer,1985-09-26,60829
49236,Feiyu,Grandbois,Senior Engineer,1985-09-27,63094
48375,Jaques,Aloia,Engineer,1985-09-28,41710
13605,Dmitry,Encarnacion,Staff,1985-09-29,70404
20979,Pradeep,Kumaresan,Staff,1985-09-30,86006
79026,Armond,Frijda,Engineer,1985-10-01,54761
19586,Hirochika,Minakawa,Senior Engineer,1985-10-02,40000
19943,Shimshon,Schoegge,Technique Leader,1985-10-03,57412
21206,Krisda,Walstra,Assistant Engineer,1985-10-04,65765
20075,Mikhail,Oberman,Engineer,1985-10-05,43803
13049,Fan,Naudin,Staff,1985-10-06,60266
23490,Xiaoheng,Zumaque,Engineer,1985-10-07,40000
41039,Subhankar,Bala,Engineer,1985-10-08,40000
31796,Leen,Vakili,Engineer,1985-10-09,58553
48221,Willard,Gist,Senior Engineer,1985-10-10,40000
10986,Masako,Schiper,Technique Leader,1985-10-11,43900
27677,Mohammed,Peak,Engineer,1985-10-12,40000
32053,Arunachalam,Tiemann,Assistant Engineer,1985-10-13,40000
10070,Reuven,Garigliano,Technique Leader,1985-10-14,55999
44874,Janche,Cools,Staff,1985-10-15,40000
26753,Boalin,Decaestecker,Staff,1985-10-16,58599
17125,Akhilish,Zweizig,Assistant Engineer,1985-10-17,40000
27557,Teunis,Oxman,Staff,1985-10-18,75640
37305,Mitchel,Restivo,Staff,1985-10-19,40000
11291,Gino,Glowinski,Senior Engineer,1985-10-20,54307
30000,Matt,Avouris,Engineer,1985-10-21,58543
12311,Susanne,Lubachevsky,Senior Engineer,1985-10-22,40000
11696,Dante,Rothe,Staff,1985-10-23,51633
11031,Ottavia,Walstra,Staff,1985-10-24,71654
16266,Mikhail,Sethi,Senior Staff,1985-10-25,57642
66254,Ghassan,Mahnke,Staff,1985-10-26,69979
34641,Cathie,Jervis,Senior Engineer,1985-10-27,69772
19353,Mayumi,Schaar,Senior Engineer,1985-10-28,58474
19669,Shem,Honiden,Staff,1985-10-29,68024
11705,Arve,Hofmeyr,Staff,1985-10-30,79701
12890,Neven,Casley,Senior Staff,1985-10-31,66803
63257,Elvis,Trogemann,Staff,1985-11-01,68034
42850,Demos,Kornyak,Engineer,1985-11-02,48482
11988,Chinya,Chinin,Engineer,1985-11-03,57652
49942,Eric,Hartvigsen,Staff,1985-11-04,44180
27002,Guozhong,Zielinski,Senior Staff,1985-11-05,53412
21321,Laurentiu,Raney,Assistant Engineer,1985-11-06,58022
21859,Padma,Swen,Engineer,1985-11-07,71833
56430,Tesuya,Klassen,Senior Staff,1985-11-08,55753
100960,Saniya,Candan,Assistant Engineer,1985-11-09,49070
66293,Jaewon,Stroustrup,Staff,1985-11-10,40000
19624,Younwoo,Wolniewicz,Staff,1985-11-11,49259
26086,Turgut,Beutelspacher,Senior Staff,1985-11-12,53923
50610,Kazuhira,Nyanchama,Staff,1985-11-13,65206
10364,Nakhoon,Dengi,Senior Engineer,1985-11-14,51401
58678,Vivian,Zwicker,Engineer,1985-11-15,56911
13648,Zejun,Lamba,Technique Leader,1985-11-16,47723
14113,Along,Herber,Engineer,1985-11-17,46841
32113,Surveyors,Beerel,Technique Leader,1985-11-18,40000
19194,Uta,Pramanik,Staff,1985-11-19,40000
12922,Jacqueline,Porenta,Senior Staff,1985-11-20,69441
19515,Keiichiro,Gurbaxani,Engineer,1985-11-21,79297
11578,Edwin,Rosti,Engineer,1985-11-22,40000
48632,Mingsen,Butterworth,Engineer,1985-11-23,40000
60705,Ekawit,Lorie,Senior Engineer,1985-11-24,61019
21143,Mayumi,Hennings,Senior Staff,1985-11-25,82365
13930,Sukumar,Chartres,Staff,1985-11-26,78867
33651,Haldon,Bresenham,Engineer,1985-11-27,50340
36516,Qiwen,Piazza,Engineer,1985-11-28,40000
42169,Wuxu,Motley,Staff,1985-11-29,70310
11113,Shahab,Peng,Staff,1985-11-30,66401
14167,Adas,Hertweck,Engineer,1985-12-01,40000
23220,Christoper,Back,Engineer,1985-12-02,40000
13986,Geraldo,Ramsey,Staff,1985-12-03,46099
53467,Roddy,Serna,Senior Staff,1985-12-04,91781
19109,Jenwei,Denis,Staff,1985-12-05,46911
20828,Brewster,Sewelson,Staff,1985-12-06,76056
64933,Kristin,Mungall,Staff,1985-12-07,68525
29071,Jaideep,Hennings,Staff,1985-12-08,55949
22072,Kasturi,Pettit,Engineer,1985-12-09,51418
18018,Sasan,Schrooten,Staff,1985-12-10,70282
26778,Zeljko,Scharstein,Staff,1985-12-11,85211
17063,Anoosh,Thiran,Staff,1985-12-12,91391
22190,Berry,Perna,Technique Leader,1985-12-13,58561
35256,Wojceich,McDermid,Staff,1985-12-14,67495
23753,Karsten,Isaac,Engineer,1985-12-15,64455
42208,Gao,Guenter,Staff,1985-12-16,84672
49382,Bikash,Kalefeld,Staff,1985-12-17,40000
40533,Kiyotoshi,Aingworth,Engineer,1985-12-18,40000
32221,Pranas,Snedden,Staff,1985-12-19,80099
25993,Kazuhiro,Luft,Staff,1985-12-20,49060
67962,Jiann,Stille,Engineer,1985-12-21,66312
35736,Tonny,Pargas,Engineer,1985-12-22,54086
56923,Djelloul,Zuberek,Staff,1985-12-23,47336
12926,Heekeun,Luby,Staff,1985-12-24,68314
16331,Giap,Garnham,Staff,1985-12-25,63123
15382,Alassane,Siegrist,Staff,1985-12-26,66083
31407,Chaosheng,Vernadat,Staff,1985-12-27,55682
13951,Mooi,Genther,Staff,1985-12-28,82054
18979,Girolamo,Fujisawa,Senior Engineer,1985-12-29,76060
35373,Bernd,Kumaresan,Staff,1985-12-30,70037
16105,Alper,Tetzlaff,Senior Staff,1985-12-31,55207
88386,Jiann,Bondorf,Senior Engineer,1986-01-01,40000
38810,Pohua,Roccetti,Staff,1986-01-02,82962
25139,Aloke,Jiang,Engineer,1986-01-03,51419
31999,Stabislas,Siksek,Staff,1986-01-04,75988
72761,Arto,Schlegelmilch,Staff,1986-01-05,89178
26935,Moti,Przulj,Engineer,1986-01-06,50482
35892,Ghassan,Olivero,Staff,1986-01-07,48250
10693,Berhard,Daescu,Staff,1986-01-08,40000
19712,Kristine,Litzler,Staff,1986-01-09,40000
34202,Rafail,Stroustrup,Senior Engineer,1986-01-10,43449
10396,Sibyl,Rahier,Senior Engineer,1986-01-11,40393
13809,Kiyotoshi,Basagni,Staff,1986-01-12,43735
35589,Kyoichi,Trystram,Engineer,1986-01-13,49962
15948,Karoline,Versino,Engineer,1986-01-14,40000
32499,Jouko,Hellwagner,Engineer,1986-01-15,45077
26813,Khoa,Piveteau,Staff,1986-01-16,40000
33733,Premsyl,Levasseur,Senior Engineer,1986-01-17,40000
13457,Shooichi,Parfitt,Engineer,1986-01-18,40812
14603,Lech,Marquardt,Engineer,1986-01-19,55369
19014,Jiafu,Danecki,Senior Staff,1986-01-20,49781
41081,Faiza,Mikschl,Senior Engineer,1986-01-21,40000
82761,Mabry,Underwood,Staff,1986-01-22,79517
43883,Zhigen,Aseltine,Staff,1986-01-23,40000
21750,Padma,Shumilov,Engineer,1986-01-24,41094
44395,Mario,Eastman,Engineer,1986-01-25,82198
21110,Shaowei,Solares,Staff,1986-01-26,88140
10152,Jaques,Munro,Engineer,1986-01-27,40000
19929,Saniya,Katzenelson,Technique Leader,1986-01-28,40000
12082,Xinan,Yamaashi,Staff,1986-01-29,72118
14224,Guther,Conta,Staff,1986-01-30,40000
22480,Boaz,Mikschl,Staff,1986-01-31,78893
23094,Kristin,Juneja,Staff,1986-02-01,71212
27203,Conal,Aloia,Senior Engineer,1986-02-02,57122
15889,Sasan,Azumi,Engineer,1986-02-03,63393
35617,Guozhong,Yemenis,Engineer,1986-02-04,42795
36537,Adin,Kawashima,Engineer,1986-02-05,40000
22783,Takahiro,Beerel,Staff,1986-02-06,83582
18919,Remco,Stille,Engineer,1986-02-07,63564
54308,Richara,Ravishankar,Staff,1986-02-08,40000
33675,Wojceich,Lichtman,Engineer,1986-02-09,40000
36085,King,Schwabacher,Staff,1986-02-10,91786
28997,Persi,Ramsay,Staff,1986-02-11,66934
25794,Ymte,Prenel,Engineer,1986-02-12,64431
41181,Paddy,Delgrossi,Senior Engineer,1986-02-13,40000
21741,Muneo,Raoux,Senior Engineer,1986-02-14,40000
23066,Shuho,Deville,Technique Leader,1986-02-15,51798
31770,Weiyi,Couchot,Staff,1986-02-16,66188
45290,Thanasis,Varman,Engineer,1986-02-17,40000
22987,Jeanna,Pehl,Engineer,1986-02-18,40708
27801,Naraig,Danecki,Staff,1986-02-19,49614
11747,Aksel,Kossowski,Staff,1986-02-20,90239
11684,Oksana,Gide,Staff,1986-02-21,68753
18075,Lein,Goodrum,Senior Engineer,1986-02-22,44780
13386,Khosrow,Sgarro,Technique Leader,1986-02-23,91420
276079,Jessie,Brlek,Staff,1986-02-24,79890
14690,Yechezkel,Bellone,Engineer,1986-02-25,40000
10066,Kwee,Schusler,Assistant Engineer,1986-02-26,69736
15454,Hongzue,Cesareni,Staff,1986-02-27,57571
10541,Godehard,Eiter,Staff,1986-02-28,50741
17293,Demin,Alpin,Engineer,1986-03-01,40000
15539,Shigeichiro,Spieker,Staff,1986-03-02,47803
12734,Gil,Frijda,Senior Engineer,1986-03-03,40000
80321,Fai,Terlouw,Staff,1986-03-04,83898
40004,Anneke,Stiles,Senior Engineer,1986-03-05,79507
20757,Ingemar,Taubman,Engineer,1986-03-06,40000
30274,Hironoby,Chiola,Engineer,1986-03-07,41486
53316,Shuky,Emmart,Staff,1986-03-08,48945
13276,Yechiam,Seuren,Staff,1986-03-09,65836
49709,Indrajit,Roisin,Senior Staff,1986-03-10,48530
13341,Bodh,Doering,Staff,1986-03-11,40000
20405,JiYoung,Mitina,Engineer,1986-03-12,51756
16672,Georgi,Peris,Staff,1986-03-13,55265
11376,Valery,Suomi,Staff,1986-03-14,46964
23703,Prodip,Thimonier,Staff,1986-03-15,40000
16546,Sangeeta,Lanphier,Engineer,1986-03-16,47819
19154,Inderjeet,Denna,Staff,1986-03-17,40000
16486,Sanjay,Perin,Staff,1986-03-18,57496
17674,Adib,Braccini,Engineer,1986-03-19,43044
26256,Faiza,Michaels,Staff,1986-03-20,61641
21908,Fen,Parfitt,Assistant Engineer,1986-03-21,52324
19709,Xiaopeng,Asmuth,Senior Engineer,1986-03-22,62904
26990,Ranga,Gihr,Staff,1986-03-23,40000
45432,Richard,Barreiro,Senior Staff,1986-03-24,64386
57350,Aluzio,Georgakopoulos,Engineer,1986-03-25,40000
25462,Vasilii,Rohrbach,Engineer,1986-03-26,40000
19333,Sanjeeva,Schrooten,Senior Engineer,1986-03-27,44724
20060,Chrisa,Attimonelli,Engineer,1986-03-28,40000
13202,Aram,Scharstein,Staff,1986-03-29,51915
20621,Arumugam,Navazio,Staff,1986-03-30,66479
15955,Yuguang,Dratva,Engineer,1986-03-31,45283
15082,Guadalupe,Zirintsis,Technique Leader,1986-04-01,63024
62982,Yannik,Penz,Senior Staff,1986-04-02,40000
71923,Jayesh,Kavanagh,Technique Leader,1986-04-03,48573
46672,Heekeun,Rehfuss,Staff,1986-04-04,40000
22530,Tetsurou,Bazelow,Staff,1986-04-05,80189
16510,Mototsugu,Vecchio,Staff,1986-04-06,40000
12052,Masako,Khasidashvili,Technique Leader,1986-04-07,40000
31697,Malu,Msuda,Engineer,1986-04-08,58839
24177,Van,Aumann,Senior Staff,1986-04-09,49836
37600,Kerhong,Engelmann,Staff,1986-04-10,71481
12489,Arnould,Munck,Senior Engineer,1986-04-11,63306
11817,Niranjan,Markovitch,Staff,1986-04-12,50638
24559,Armond,Zeleznik,Engineer,1986-04-13,83718
16479,Jixiang,Eiter,Staff,1986-04-14,62446
16731,Domenico,Versino,Engineer,1986-04-15,48868
16272,Shuho,Zeleznik,Assistant Engineer,1986-04-16,40000
22772,Sandeepan,McClurg,Staff,1986-04-17,46367
22596,Slavian,Wegerle,Engineer,1986-04-18,47430
50678,Udaiprakash,Chepyzhov,Staff,1986-04-19,71576
11347,Anneli,Jonsson,Engineer,1986-04-20,41524
50736,Ulf,Douceur,Technique Leader,1986-04-21,40000
15753,Sanjay,Breugel,Assistant Engineer,1986-04-22,40000
10912,Oscal,Fasbender,Staff,1986-04-23,45665
15075,Radoslaw,Rijsenbrij,Engineer,1986-04-24,40000
25101,Zdislav,Kamble,Staff,1986-04-25,72836
10895,Vishwani,Petersohn,Staff,1986-04-26,67103
36986,Fabrizio,Lalonde,Engineer,1986-04-27,60249
90914,Danel,Mandell,Engineer,1986-04-28,47610
13186,Kyoichi,Barbanera,Staff,1986-04-29,93138
39337,Shaowen,Miake,Senior Engineer,1986-04-30,48270
28659,Tetsushi,Schapiro,Staff,1986-05-01,73742
27793,Paraskevi,Merlo,Staff,1986-05-02,71560
11459,Duke,Suomi,Staff,1986-05-03,40000
18671,Shan,Nastansky,Senior Engineer,1986-05-04,55188
14693,Brewster,Stranks,Staff,1986-05-05,59960
11050,Elvis,Katiyar,Staff,1986-05-06,52251
11027,Remzi,Cappello,Assistant Engineer,1986-05-07,40000
51646,Maren,Hellwagner,Engineer,1986-05-08,40000
61006,Garnik,Schonegge,Engineer,1986-05-09,56458
19268,Adit,Papastamatiou,Senior Engineer,1986-05-10,40000
59016,Terresa,Kornyak,Engineer,1986-05-11,74095
10217,Yongmin,Roison,Technique Leader,1986-05-12,40000
25599,Masoud,Pillow,Senior Staff,1986-05-13,82038
16234,Jacopo,Basart,Staff,1986-05-14,40000
80031,Wayne,Bach,Engineer,1986-05-15,60298
23554,Toshiki,Bail,Engineer,1986-05-16,53968
40398,Radhia,Szilard,Staff,1986-05-17,59898
25379,Eric,Mullainathan,Senior Engineer,1986-05-18,59373
13535,Arunas,Schlenzig,Assistant Engineer,1986-05-19,40000
31371,Feixiong,Hartvigsen,Senior Engineer,1986-05-20,40000
61370,Shahar,Candan,Staff,1986-05-21,64804
