emp_no,first_name,last_name,title,from_date,to_date
26503,Shietung,Billingsley,Senior Staff,1998-11-07,1998-12-02
26617,Berto,Bruckman,Engineer,1991-11-23,1994-03-27
26629,Nevin,Rodham,Senior Staff,1998-12-14,9999-01-01
26671,Jiakeng,Kalorkoti,Engineer,1994-12-25,2001-12-25
26788,Zongyan,Dalphin,Engineer,1988-04-23,1993-04-23
27150,Chenyi,Plump,Staff,1992-06-23,1995-05-22
27331,Wanqing,Krohm,Senior Staff,1999-01-22,9999-01-01
27378,Piyawadee,Leppanen,Senior Staff,1999-02-25,9999-01-01
27620,Shuji,Kandlur,Senior Engineer,1997-03-02,9999-01-01
27686,Manu,Rosiles,Senior Staff,1998-03-03,9999-01-01
27699,Falguni,Pezzoli,Engineer,1996-12-23,9999-01-01
27767,Tooru,Veldwijk,Senior Staff,2000-11-21,9999-01-01
27970,KayLiang,Miyakawa,Technique Leader,1995-11-22,2000-02-07
28193,Xinglin,Mitsuhashi,Engineer,1988-12-14,1997-12-14
28222,Mayuko,Vitiello,Technique Leader,1993-12-22,1995-10-16
28974,Chenxi,Sundgren,Senior Engineer,1986-09-02,9999-01-01
28988,Tua,Giveon,Technique Leader,1998-09-09,9999-01-01
29130,Xumin,Thorensen,Staff,1998-04-26,9999-01-01
29265,Gilbert,Calkin,Staff,1988-03-21,1994-03-21
29380,Satoru,Vidal,Assistant Engineer,1998-05-02,9999-01-01
29418,Valery,Mersereau,Assistant Engineer,1998-07-01,9999-01-01
29679,Kolar,Steenbeek,Senior Engineer,1986-10-18,9999-01-01
29782,Jouko,Hellwagner,Senior Engineer,1994-12-21,9999-01-01
29954,Pranay,Giarratana,Senior Engineer,1992-09-29,9999-01-01
30007,Kousuke,Vecchio,Engineer,1990-02-23,1999-02-23
30035,Tetsushi,Conta,Senior Staff,1995-07-04,9999-01-01
30154,Mayuko,Skafidas,Technique Leader,1999-04-19,9999-01-01
30182,Leon,Potthoff,Senior Engineer,1993-12-08,9999-01-01
30465,Randi,Avouris,Engineer,1986-07-16,1991-07-16
30484,Sailaja,Chvatal,Staff,1999-05-18,9999-01-01
30552,Yishai,Terlouw,Senior Engineer,1992-09-18,1999-01-07
30695,Gudjon,Majewski,Senior Engineer,1999-10-26,9999-01-01
30938,Yakkov,Samarati,Senior Staff,2000-05-22,9999-01-01
31147,Divine,Sidhu,Senior Staff,1989-07-05,9999-01-01
31170,Tuval,Waleschkowski,Senior Staff,1987-10-16,1988-12-14
31188,Leandro,Gist,Technique Leader,1993-02-03,9999-01-01
31207,Abdelwaheb,Dulin,Senior Engineer,1993-08-05,9999-01-01
31341,Oksana,Zultner,Senior Staff,1997-03-22,9999-01-01
31514,Harngdar,Schapire,Senior Engineer,2001-11-09,9999-01-01
31568,Mark,Lalonde,Staff,1996-11-24,9999-01-01
31599,Qingxiang,Gewali,Engineer,1997-09-22,1998-12-01
31629,Toong,Veldwijk,Assistant Engineer,1986-07-28,1995-07-28
31909,Murthy,Peek,Engineer,1994-07-19,9999-01-01
32347,Terresa,Peres,Senior Staff,1997-09-15,9999-01-01
32552,Atreye,Stanger,Engineer,1999-09-10,9999-01-01
32622,Piyush,Paciorek,Staff,1991-04-07,1991-08-07
32649,Ingmar,Nannarelli,Senior Staff,1988-06-10,9999-01-01
32714,Radoslaw,Maliniak,Staff,1997-11-17,9999-01-01
32844,Tadahiko,Melton,Engineer,1995-01-07,9999-01-01
33025,Jessie,Thorelli,Senior Staff,1999-12-16,9999-01-01
33215,Steen,Fasbender,Technique Leader,1993-02-14,9999-01-01
33293,Adamantios,Vanwelkenhuysen,Assistant Engineer,1994-01-11,2000-01-11
33606,Clyde,Swift,Staff,1994-11-14,1996-12-29
33722,Anwar,Collette,Senior Engineer,1994-03-22,9999-01-01
34077,Angel,Sichman,Staff,1988-11-16,1997-11-16
34261,Kyoichi,Callaway,Senior Staff,1996-12-29,9999-01-01
34446,Chinhyun,Bauknecht,Senior Engineer,1986-12-19,9999-01-01
34452,Naftaly,Foong,Engineer,1991-05-10,2000-05-09
34505,Felicidad,Kumaresan,Staff,1994-09-06,2001-09-06
34533,Erzsebet,Shigei,Senior Engineer,1991-01-21,9999-01-01
34780,Moni,Kohling,Staff,1994-07-21,9999-01-01
34788,Ennio,Babu,Senior Engineer,1994-08-31,9999-01-01
34936,Bokyung,Stamatiou,Technique Leader,1991-02-12,9999-01-01
35044,Jiang,Waschkowski,Engineer,1989-05-27,1997-05-27
35087,Leif,Ashish,Senior Staff,2001-10-14,9999-01-01
35441,Chandrasekaran,Peek,Engineer,1988-02-07,1993-02-06
35642,Ashish,Talmon,Engineer,1995-06-13,2002-06-13
35793,Oscar,Kusalik,Staff,1991-05-11,1996-05-10
35798,Ulf,Oberman,Senior Engineer,1997-03-15,9999-01-01
36521,Serif,Gladwell,Staff,1987-03-06,1993-03-05
36626,Fen,Genin,Senior Staff,1986-05-09,9999-01-01
36733,Uma,Reinhard,Staff,1997-11-01,9999-01-01
36844,Hailing,Levergood,Staff,2000-01-12,9999-01-01
36982,Kotesh,Rajala,Senior Engineer,2000-06-23,9999-01-01
37070,Jeong,Undy,Senior Staff,1993-02-13,9999-01-01
37592,Berni,Stranks,Engineer,1985-11-05,1992-09-19
37719,Nakhoon,Buescher,Assistant Engineer,1988-06-12,1997-06-12
37945,Suzette,Butterworth,Senior Engineer,1994-02-19,9999-01-01
38017,Ulf,Himler,Staff,1994-01-02,1997-11-28
38043,Michaela,Randi,Engineer,1985-11-23,1994-11-23
38103,Masasuke,Babu,Senior Engineer,1993-03-31,9999-01-01
38168,Fumiko,Deverell,Senior Staff,1996-08-14,9999-01-01
38550,JoAnne,Baez,Senior Engineer,1987-02-16,9999-01-01
38593,Huei,Orsini,Engineer,1986-06-04,1995-06-04
38947,Shuichi,Ruemmler,Senior Staff,1998-03-08,9999-01-01
39000,Martijn,Vendrig,Staff,1997-03-03,2002-03-03
39036,Changho,Cappelli,Staff,1996-05-04,9999-01-01
39268,Constantijn,Awdeh,Engineer,1987-10-20,1990-06-10
39301,Rimon,Kawashima,Senior Staff,1998-02-05,9999-01-01
39341,Mahmut,Lampe,Senior Engineer,1994-05-11,9999-01-01
39952,Otmar,Sudbeck,Staff,1998-07-22,9999-01-01
40269,Toshiki,Ghazalie,Senior Staff,2000-12-04,9999-01-01
40283,Sudhanshu,Boissier,Engineer,1985-05-11,1993-05-11
40301,Spyrose,Felder,Senior Engineer,1996-06-16,9999-01-01
40536,Harngdar,Bernardinello,Engineer,1988-02-29,1996-02-29
40648,Wayne,Erev,Staff,1990-09-19,1993-02-02
40765,Michaela,Ramsak,Senior Staff,2001-12-21,9999-01-01
40773,Shimshon,Aingworth,Staff,1986-04-13,1991-04-13
40785,Youpyo,Castellani,Engineer,1998-09-04,1999-10-14
40983,Marla,Cherinka,Technique Leader,1986-12-01,9999-01-01
41114,Petter,Thummel,Technique Leader,1995-12-24,9999-01-01
41137,Bikash,Buchter,Senior Staff,1992-11-22,9999-01-01
41357,Willard,Vernadat,Engineer,1997-03-04,9999-01-01
41518,Keung,Schapiro,Senior Engineer,1998-04-19,9999-01-01
41520,Xiong,Uhrik,Senior Engineer,1988-03-21,9999-01-01
41552,Uno,Heyers,Engineer,1990-09-28,1999-09-28
41609,Yucai,Simmen,Senior Staff,1987-10-13,9999-01-01
42778,Shuji,Remmers,Senior Staff,1996-12-17,9999-01-01
42911,Brigham,Eterovic,Engineer,1994-10-08,1999-10-08
42950,Shaleah,Eickenmeyer,Senior Staff,1993-10-09,9999-01-01
42955,Yucel,Lortz,Engineer,1995-02-21,9999-01-01
43154,Maha,Waterhouse,Staff,1997-07-04,2002-07-04
43358,Ottavia,Mitsuhashi,Staff,1989-08-18,1996-07-13
43733,Huei,Boguraev,Staff,1993-12-31,1998-12-31
43848,Phillip,Oxenboll,Engineer,1999-05-26,9999-01-01
44054,Alenka,Ritcey,Engineer,1997-02-09,9999-01-01
44265,Maria,Eppinger,Engineer,1997-01-30,9999-01-01
44540,Mingzeng,Sadowski,Senior Engineer,1989-11-12,9999-01-01
44900,Mark,Schwaller,Senior Staff,2001-08-10,9999-01-01
44959,Volkmar,Uhrik,Senior Engineer,1995-01-16,9999-01-01
44962,Sariel,Wynblatt,Assistant Engineer,1996-05-18,9999-01-01
45162,Dulce,Speel,Senior Engineer,1996-10-18,9999-01-01
45590,Masoud,Genin,Technique Leader,1991-02-16,1994-06-01
46000,Zhaofang,Penn,Senior Staff,2002-07-24,9999-01-01
46015,Weiye,Masand,Staff,1995-07-24,2002-01-29
46222,Mrinalini,Strooper,Staff,1990-03-05,1992-09-04
46328,Wuxu,Trogemann,Senior Staff,1997-01-27,9999-01-01
46531,Yaghout,Peng,Assistant Engineer,1995-10-02,1997-10-07
46811,Junsik,Berendt,Senior Engineer,1988-04-27,9999-01-01
46834,Tooru,Daescu,Senior Staff,1998-03-20,9999-01-01
46943,Pasqua,Maraist,Engineer,1993-12-06,1998-12-06
47016,Toong,Litecky,Staff,1989-03-01,1994-03-01
47139,Marco,Usdin,Engineer,1996-10-29,9999-01-01
47262,Gonzalo,Binkley,Senior Engineer,1990-08-16,9999-01-01
47515,Naraig,Jenevein,Senior Engineer,1987-01-18,9999-01-01
47702,Juyoung,Vieri,Senior Staff,1999-08-12,9999-01-01
47708,Edwin,Haldar,Senior Staff,1995-07-12,9999-01-01
48275,Sariel,Massonet,Staff,1987-11-20,1993-11-19
48690,Hitomi,Schaap,Staff,1999-09-27,9999-01-01
48882,Leen,Lamparter,Engineer,1993-06-07,2001-06-07
48904,Yuichiro,Malabarba,Staff,1994-03-07,1999-03-07
48947,Filipp,Akaboshi,Senior Staff,1992-05-20,9999-01-01
49010,Kazuhisa,Benantar,Senior Staff,1994-10-23,9999-01-01
49017,Filipp,Flanders,Engineer,1990-11-26,1999-11-26
49119,Lena,Peek,Senior Engineer,1997-05-15,9999-01-01
49177,Tze,Bach,Engineer,1999-03-09,9999-01-01
49464,Siddarth,Cappelletti,Staff,1999-09-10,9999-01-01
49477,Baocai,Leaver,Senior Staff,1998-08-05,9999-01-01
50293,Xinan,Rindone,Engineer,1996-10-08,9999-01-01
50311,Mooi,Stafford,Senior Engineer,1996-10-06,9999-01-01
50360,Sumali,Kushner,Engineer,1999-10-30,2001-10-29
50453,Aron,Harbusch,Staff,1997-10-02,9999-01-01
50587,Slavian,Yemenis,Technique Leader,1993-08-06,1994-11-18
50670,Boguslaw,Snedden,Staff,1985-02-20,1993-02-20
50831,Marie,Khalid,Senior Engineer,1990-10-27,9999-01-01
51036,Chriss,Fasbender,Staff,1995-05-23,9999-01-01
51057,Theirry,Albarhamtoshy,Senior Staff,1996-09-26,9999-01-01
51060,Youngkon,Rohrbach,Engineer,1989-10-20,1998-10-20
51118,Fumiko,Mundy,Staff,1998-09-22,2001-08-20
51142,Rosine,Lakshmanan,Engineer,1986-01-31,1991-01-31
51502,Slavian,Munawer,Senior Staff,1999-08-06,2001-09-04
51868,Remmert,Munke,Assistant Engineer,1991-09-22,1998-05-19
52038,Chikako,Armand,Senior Engineer,1985-05-18,9999-01-01
52040,Phule,Heijenga,Senior Staff,1998-02-21,9999-01-01
52283,Trygve,Krupka,Senior Staff,2001-03-11,9999-01-01
52386,Adas,Denti,Senior Staff,1995-05-30,9999-01-01
52590,Jouni,Munoz,Senior Staff,2000-11-25,9999-01-01
52599,Augustine,Mungall,Senior Engineer,1996-08-30,9999-01-01
52639,Arup,Colorni,Senior Staff,1996-02-05,9999-01-01
52770,Shugo,Yurek,Staff,1992-08-28,1998-08-28
52778,Alain,Penn,Technique Leader,1986-05-03,9999-01-01
52956,Khalil,Picci,Engineer,1987-03-21,1992-03-20
52970,Lobel,Werthner,Engineer,1988-03-17,1997-03-17
53088,Mechthild,Lamma,Senior Engineer,1992-05-18,1993-06-03
53278,Premsyl,Lortz,Senior Staff,1999-02-01,9999-01-01
53314,Eberhardt,Carrera,Staff,1999-02-23,9999-01-01
53431,Sham,Vasanthakumar,Senior Staff,1985-10-24,9999-01-01
53499,Zdislav,Mandelberg,Engineer,1994-09-11,2000-09-10
53597,Jiafu,Marchegay,Engineer,1985-03-02,1992-03-02
53746,Manu,Erva,Staff,1989-03-17,1993-04-29
53874,Bodo,Schade,Staff,1986-02-14,1995-02-14
53891,Olivera,Pargaonkar,Staff,1989-03-13,1992-03-29
53924,Arnould,Gaughan,Engineer,1991-01-23,1998-01-23
54198,Shaowen,Segond,Senior Engineer,1993-01-06,9999-01-01
54632,Etsuo,Serot,Senior Staff,1997-06-14,9999-01-01
54795,Sumant,Nergos,Senior Staff,2000-05-07,9999-01-01
54800,Breannda,Cangellaris,Staff,2000-01-27,9999-01-01
55121,Toshiko,Alblas,Engineer,1995-07-20,1996-07-23
55640,Adit,Syrotiuk,Engineer,1993-07-16,1999-07-16
55670,Ulf,Ranft,Senior Staff,1990-03-25,1996-05-17
55687,Shih,Lindqvist,Senior Engineer,1995-03-29,9999-01-01
55799,Jianwen,Litzler,Engineer,1987-06-17,1993-06-16
55857,Adin,Scallan,Staff,1987-09-15,1996-09-14
56105,Makato,Remmers,Engineer,1989-04-16,1994-04-16
56209,Remzi,Douceur,Engineer,1992-12-01,1998-12-01
56415,Sigeru,Nivat,Senior Staff,1999-10-24,9999-01-01
56428,Olivera,Hanabata,Senior Staff,1992-11-09,9999-01-01
56682,Roded,Picco,Assistant Engineer,1993-11-06,9999-01-01
56829,Nagui,Gruenwald,Engineer,1995-12-24,9999-01-01
56847,Menkae,Chinin,Senior Engineer,1989-08-19,9999-01-01
57934,Sanjoy,Boudaillier,Engineer,1989-12-27,1997-12-27
57982,Paloma,Benzaken,Senior Staff,1989-10-17,1998-09-11
58141,Bezalel,Karner,Staff,1994-09-27,9999-01-01
58147,Shigenori,Sullins,Senior Staff,1988-02-24,9999-01-01
58217,Kiyotoshi,Kusalik,Engineer,1998-11-19,1999-06-26
58384,Mariusz,Vural,Engineer,1993-11-14,2001-11-14
58454,Ziya,Zambonelli,Engineer,1999-06-29,9999-01-01
58497,Yechiam,Cairo,Senior Staff,1996-07-12,9999-01-01
58601,Sungwon,Asser,Staff,2000-01-27,2000-04-01
58819,Gennady,Liesche,Senior Staff,1987-12-02,9999-01-01
58990,Palash,Trelles,Engineer,1998-11-18,9999-01-01
59195,Ronnie,Pollock,Technique Leader,1990-06-19,9999-01-01
59329,Zissis,Bazzichi,Staff,1987-02-07,1991-01-25
59640,Zita,Hiltgen,Staff,1999-01-26,9999-01-01
59661,Saeko,Baik,Staff,1996-05-23,1999-08-15
59869,Zsolt,Riefers,Staff,1987-09-25,1994-09-25
59966,Steen,Salvesen,Technique Leader,1993-02-03,9999-01-01
60000,Heekeun,Emmart,Assistant Engineer,1995-09-23,2001-09-22
60091,Surveyors,Bade,Senior Staff,1996-04-10,9999-01-01
60238,Erzsebet,Claffy,Staff,1997-03-03,9999-01-01
60559,Jeanna,Stemann,Senior Engineer,1996-08-29,9999-01-01
60821,Moty,Mersereau,Senior Staff,1999-09-03,9999-01-01
60845,Bedir,Siegrist,Engineer,1997-05-13,9999-01-01
60875,Rildo,Masaki,Engineer,1990-01-14,1997-01-14
60959,Tetsushi,Sridhar,Staff,1989-01-12,1997-01-12
61147,Leszek,Werthner,Staff,1999-03-03,9999-01-01
61253,Cheong,Uhrik,Engineer,1996-06-04,2001-06-04
61377,Dannz,Ohori,Staff,1988-01-18,1994-01-17
61541,Kasidit,Papsdorf,Engineer,1993-08-17,1999-08-17
61680,Hauke,Templeman,Staff,1991-10-23,1999-02-21
61873,Woody,Rusmann,Engineer,2002-02-26,9999-01-01
61983,Sastry,Reeken,Staff,1990-07-24,1992-05-17
62033,Heeju,Cappelli,Engineer,1987-01-15,1994-01-15
62046,Karlis,Nanard,Engineer,1992-09-19,2001-09-19
62167,Mihalis,Haldar,Senior Engineer,1998-05-11,2001-02-03
62245,Adel,Bressoud,Engineer,1995-08-30,9999-01-01
62384,Akeel,Litzler,Senior Staff,1999-10-23,2001-12-21
63294,Tetsushi,Tanemo,Senior Engineer,2002-03-01,9999-01-01
63419,Hiroyasu,Seuren,Senior Engineer,1989-03-05,9999-01-01
63441,Hinrich,Scallan,Staff,1999-04-04,9999-01-01
63444,Padma,Peres,Senior Staff,1991-02-20,1994-12-22
63566,Heekeun,Slaats,Senior Staff,1999-01-12,9999-01-01
63631,Falguni,Cherinka,Senior Engineer,1986-09-08,9999-01-01
63706,Sedat,Itzigehl,Engineer,1997-07-31,9999-01-01
64023,Laurentiu,Benzmuller,Senior Engineer,1999-11-08,9999-01-01
64209,Golgen,Schoegge,Senior Staff,1988-02-26,9999-01-01
64431,Faiza,Zongker,Technique Leader,1995-12-10,2001-12-03
64487,Tsutomu,Rebaine,Senior Engineer,1994-09-17,9999-01-01
64532,Atilio,Segond,Senior Engineer,1996-11-28,9999-01-01
64632,Zsolt,Brender,Senior Staff,1996-02-21,9999-01-01
64790,Shin,Piveteau,Senior Engineer,1993-04-19,9999-01-01
64828,Krister,Pappas,Staff,1999-09-30,9999-01-01
64984,Eldridge,Eldridge,Engineer,1986-06-24,1991-06-24
65013,Chandrasekaran,Peral,Senior Engineer,1992-02-29,2001-12-14
65171,Jeane,Tasistro,Technique Leader,1994-07-06,9999-01-01
65539,Aksel,Picaronny,Engineer,1991-01-27,1998-01-27
65883,Patricia,Pepe,Staff,1991-04-19,1996-04-18
65998,Mandell,Alameldin,Staff,1989-04-08,1996-04-08
66382,Domenico,Candan,Engineer,1997-07-13,9999-01-01
66530,Dung,Leaver,Staff,1998-04-04,9999-01-01
66643,Jianhao,Tomescu,Engineer,1996-08-26,9999-01-01
66702,Deniz,Thibadeau,Engineer,1994-09-27,2000-09-26
66757,Yonghong,Baig,Staff,1999-04-10,9999-01-01
66807,Aiman,Rosaz,Engineer,1990-05-22,1999-05-22
67320,Sadok,Lorys,Senior Staff,1987-05-10,9999-01-01
67548,Fumitaka,Roohalamini,Staff,1998-06-27,9999-01-01
67934,Aiman,Gargeya,Engineer,1985-03-07,1993-03-07
68022,Kristinn,Pearson,Staff,1995-05-07,1999-06-26
68168,Marl,Thiria,Senior Staff,1992-03-17,1996-12-31
68263,Fumiko,Bodoff,Staff,1991-12-19,1993-07-11
68416,Munenori,Debuse,Senior Engineer,1990-11-08,9999-01-01
68608,Yucai,Seghrouchni,Senior Engineer,1994-06-09,9999-01-01
68633,Chinhyun,Rassart,Senior Engineer,1993-07-29,9999-01-01
68648,Jaques,DiGiano,Technique Leader,1992-04-01,9999-01-01
69052,Shietung,Shrader,Senior Staff,1995-08-05,9999-01-01
69219,Shuky,Redmiles,Senior Staff,1994-07-06,9999-01-01
69867,Miyeon,Rothe,Staff,1991-04-09,1997-04-08
69878,Chinya,Cooke,Engineer,1997-01-29,9999-01-01
69936,Lalit,Unni,Assistant Engineer,1998-12-06,9999-01-01
70469,Tru,Miyakawa,Senior Staff,1998-09-03,9999-01-01
70780,Behnaam,Angelov,Assistant Engineer,1995-01-29,1999-07-20
70990,Arumugam,Nitta,Senior Engineer,1990-03-23,9999-01-01
71066,Domenick,Basart,Staff,1996-01-05,2001-01-04
71141,Sajjad,Vitiello,Senior Staff,1997-02-16,9999-01-01
71188,Pranjal,Schapiro,Staff,1986-12-14,1993-12-14
71243,Kinh,Buchter,Senior Engineer,1993-03-29,9999-01-01
71334,Cathie,Peck,Senior Engineer,1998-04-12,9999-01-01
71685,Kristinn,Olano,Senior Engineer,1989-10-03,9999-01-01
71710,Hitomi,Takanami,Assistant Engineer,1997-12-15,9999-01-01
71745,Adil,Laventhal,Assistant Engineer,1992-05-13,2001-05-13
72190,Sajjad,Waeselynck,Engineer,1999-09-13,9999-01-01
72194,Feiyu,Siepmann,Senior Engineer,1998-10-01,9999-01-01
72232,Naraig,Veldwijk,Engineer,1989-07-10,1996-07-10
72640,Honglan,Hutton,Engineer,1993-10-04,1998-10-04
72918,Takahira,Szilard,Senior Staff,1993-01-15,9999-01-01
73076,Froduald,Feldhoffer,Senior Engineer,1993-03-16,9999-01-01
73233,Shigeo,Merey,Senior Engineer,1985-07-30,9999-01-01
73516,Qingxiang,Badache,Engineer,1989-06-25,1996-06-25
73743,Anneke,Bernardeschi,Engineer,1999-11-01,9999-01-01
73794,Aiichiro,Castellani,Engineer,1985-08-26,1987-08-19
73903,Bartek,Cappello,Engineer,1988-07-28,1993-01-02
74200,Holgard,Weiland,Senior Engineer,1991-09-24,9999-01-01
74237,Jaihie,Vilarrasa,Assistant Engineer,1992-03-03,2001-03-03
74344,Hiroyasu,Provine,Engineer,1994-11-25,9999-01-01
74598,Kolar,Garigliano,Senior Staff,1992-05-10,1999-03-07
74668,Masako,Bonifati,Senior Staff,1987-04-09,9999-01-01
74800,Yuuichi,Conde,Assistant Engineer,1989-03-08,1994-03-08
75113,Zissis,Birch,Senior Engineer,1999-08-19,2000-07-15
75354,Shuky,Jakobus,Senior Engineer,1993-06-16,9999-01-01
75420,Clyde,Vrecion,Engineer,1997-07-03,2000-09-14
75703,Kyoichi,Erman,Engineer,1996-07-25,2001-07-25
75760,Jahangir,Radhakrishnan,Technique Leader,1991-04-19,1993-12-29
75888,Marsal,Otillio,Staff,1994-01-23,1999-09-16
76178,Chiradeep,Meriste,Senior Engineer,1988-05-23,1997-06-25
76189,Kolar,Hinsberger,Senior Engineer,1994-10-20,9999-01-01
76201,Arif,Preusig,Senior Engineer,1992-04-02,9999-01-01
76417,Parviz,Duclos,Senior Engineer,1989-12-27,1993-12-31
76598,Keung,Ferriere,Engineer,1991-05-13,1995-10-08
76640,Tristan,Mitsuhashi,Engineer,1994-07-13,2000-07-12
76847,Mariusz,Weiland,Senior Engineer,1989-08-16,1994-11-09
77030,Faiza,Garnham,Technique Leader,1986-03-02,9999-01-01
77157,Tesuro,Nicolson,Staff,1996-06-01,1999-10-20
77303,Xinglin,Birge,Senior Staff,2001-03-05,9999-01-01
77647,Niranjan,Schaaf,Technique Leader,1989-11-05,9999-01-01
77815,Ronghao,Picaronny,Assistant Engineer,1993-06-09,2002-06-09
78086,Fabrizio,Anick,Staff,1997-12-16,1998-05-02
78106,Ashish,Ratnaker,Senior Staff,1986-11-10,9999-01-01
78171,Teiji,Hinsberger,Senior Staff,1997-01-25,2002-05-18
